,date,open_p,high_p,low_p,close_p,prd_vlm,open_int
351,2018-06-13,7369.25,7417.5,7346.75,7358.5,354039,201462
352,2018-06-12,7320.0,7372.25,7308.5,7353.75,276477,181887
353,2018-06-11,7296.25,7342.25,7278.25,7323.5,277093,148285
354,2018-06-08,7312.25,7315.25,7229.0,7304.0,239658,80887
355,2018-06-07,7369.75,7385.5,7268.0,7312.25,68276,44131
356,2018-06-06,7333.25,7373.75,7293.75,7366.5,300300,239185
357,2018-06-05,7299.0,7339.0,7289.0,7330.75,256212,239989
358,2018-06-04,7231.25,7303.0,7223.25,7299.75,247834,239275
359,2018-06-01,7134.0,7242.0,7128.75,7234.5,335020,240285
360,2018-05-31,7130.0,7175.0,7109.75,7128.5,389141,232346
361,2018-05-30,7099.5,7146.25,7070.0,7138.75,303797,236762
362,2018-05-29,7140.5,7158.5,7042.0,7096.0,487638,237338
363,2018-05-25,7106.5,7155.25,7094.0,7111.75,317340,232581
364,2018-05-24,7108.25,7126.5,7036.75,7108.75,379490,236052
365,2018-05-23,7057.0,7113.0,6981.25,7108.5,390903,237095
366,2018-05-22,7065.5,7106.25,7041.5,7060.75,269992,231987
367,2018-05-21,7070.5,7108.5,7033.0,7067.25,293370,231722
368,2018-05-18,7060.0,7087.75,7013.75,7025.5,314569,231605
369,2018-05-17,7086.75,7113.5,7026.5,7057.25,325159,232928
370,2018-05-16,7047.0,7105.0,7027.0,7088.75,274261,232941
371,2018-05-15,7120.5,7128.25,7005.75,7042.0,432917,237303
372,2018-05-14,7109.75,7165.0,7107.0,7125.5,255900,225942
373,2018-05-11,7101.0,7131.0,7079.75,7111.5,263016,229361
374,2018-05-10,7047.5,7122.75,7040.25,7116.5,292974,229003
375,2018-05-09,6973.5,7052.75,6959.75,7047.5,316609,226321
376,2018-05-08,6968.5,6989.0,6922.5,6972.0,370356,224063
377,2018-05-07,6930.5,7002.75,6923.75,6977.5,323768,229033
378,2018-05-04,6818.0,6940.0,6762.0,6926.25,408713,231469
379,2018-05-03,6782.25,6823.0,6689.5,6816.0,518811,228609
380,2018-05-02,6867.0,6881.0,6776.75,6785.0,382532,225883
381,2018-05-01,6757.5,6891.5,6730.25,6843.5,360806,228152
382,2018-04-30,6819.5,6869.5,6747.0,6764.5,389473,225356
383,2018-04-27,6896.25,6923.5,6774.5,6821.25,481734,221940
384,2018-04-26,6734.75,6900.5,6710.75,6886.25,424984,233913
385,2018-04-25,6677.25,6727.75,6580.75,6707.25,544882,229472
386,2018-04-24,6812.25,6869.25,6618.75,6678.25,626789,232914
387,2018-04-23,6857.0,6879.5,6768.25,6818.5,384306,227141
388,2018-04-20,6929.25,6941.75,6797.5,6827.75,422339,228733
389,2018-04-19,7006.75,7017.75,6906.75,6931.5,376428,219795
390,2018-04-18,6971.0,7018.5,6948.25,6995.0,298181,221766
391,2018-04-17,6855.75,6996.25,6850.0,6980.25,325724,227739
392,2018-04-16,6825.75,6873.5,6790.75,6863.5,324486,226204
393,2018-04-13,6820.25,6864.5,6757.75,6792.25,465366,226885
394,2018-04-12,6747.75,6845.25,6741.25,6822.25,357175,230826
395,2018-04-11,6776.75,6814.75,6702.25,6744.25,443623,232226
396,2018-04-10,6642.0,6803.25,6623.25,6775.75,542219,232193
397,2018-04-09,6614.5,6769.5,6611.5,6648.5,482071,233897
398,2018-04-06,6759.5,6762.75,6560.0,6606.25,631810,239372
399,2018-04-05,6733.5,6806.0,6710.5,6751.75,495024,238723
400,2018-04-04,6617.5,6743.25,6458.25,6734.0,635562,247240
401,2018-04-03,6557.25,6648.25,6502.75,6620.75,681282,243760
402,2018-04-02,6708.5,6740.0,6478.0,6544.75,670690,247816
403,2018-03-29,6642.25,6805.25,6595.25,6745.5,647977,241087
404,2018-03-28,6701.75,6733.75,6572.5,6628.75,948120,238007
405,2018-03-27,6927.25,7000.75,6641.5,6712.75,731553,228360
406,2018-03-26,6701.25,6930.5,6676.5,6925.0,637180,229719
407,2018-03-23,6843.75,6872.75,6670.5,6705.75,748098,229742
408,2018-03-22,7034.75,7066.5,6837.5,6843.5,685491,230973
409,2018-03-21,7064.0,7102.5,6993.75,7035.5,454570,224175
410,2018-03-20,7063.25,7079.25,7014.5,7069.0,401041,230748
411,2018-03-19,7194.5,7194.5,6972.75,7065.75,571979,232579
412,2018-03-16,7224.25,7236.25,7184.5,7195.5,287434,224289
413,2018-03-15,7212.25,7251.5,7178.75,7222.0,349315,220577
414,2018-03-14,7214.25,7273.0,7188.0,7209.5,470283,213106
415,2018-03-13,7312.25,7366.0,7202.0,7234.75,556239,185770
416,2018-03-12,7284.25,7336.5,7275.5,7317.25,349430,129179
417,2018-03-09,7151.0,7281.0,7139.25,7275.75,277290,76157
418,2018-03-08,7101.0,7154.5,7090.75,7151.75,57504,44069
419,2018-03-07,7034.75,7113.75,6975.0,7101.25,498163,222042
420,2018-03-06,7057.25,7116.0,7048.5,7084.5,415228,223998
421,2018-03-05,6972.5,7081.25,6919.25,7054.25,467865,222802
422,2018-03-02,6940.5,7000.0,6822.75,6981.5,636240,231055
423,2018-03-01,7056.25,7075.5,6865.75,6937.5,793737,229245
424,2018-02-28,7090.5,7147.25,7034.5,7041.75,461819,222485
425,2018-02-27,7180.25,7185.75,7080.75,7092.5,498392,222061
426,2018-02-26,7095.0,7184.25,7066.75,7176.75,297831,214716
427,2018-02-23,6969.25,7090.5,6959.5,7086.5,383733,212956
428,2018-02-22,6933.25,7008.25,6871.5,6965.5,439678,224124
